Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Averaging start,Averaging end,Samples,PDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,CS name
38,,,,,,76.68224983,30.65717049,250.030,0.010,0.010,0.016,0.014,1.834,m,FIX,2023-04-27 16:22:11.8 UTC+05:30,2023-04-27 16:22:11.8 UTC+05:30,1,1.5,,,,76.68293478,30.65634194,248.818,112.949,Global CS
39,,,,,,76.68218471,30.65722007,249.903,0.024,0.023,0.070,0.033,1.834,m,SINGLE,2023-04-27 16:22:59.2 UTC+05:30,2023-04-27 16:22:59.2 UTC+05:30,1,1.5,,,,76.68293478,30.65634194,248.818,121.059,Global CS
40,,,,,,76.68218471,30.65722007,249.903,0.024,0.023,0.070,0.033,1.834,m,SINGLE,2023-04-27 16:22:59.2 UTC+05:30,2023-04-27 16:22:59.2 UTC+05:30,1,1.5,,,,76.68293478,30.65634194,248.818,121.059,Global CS
41,,,,,,76.68218471,30.65722007,249.903,0.024,0.023,0.070,0.033,1.834,m,SINGLE,2023-04-27 16:22:59.2 UTC+05:30,2023-04-27 16:22:59.2 UTC+05:30,1,1.5,,,,76.68293478,30.65634194,248.818,121.059,Global CS
42,,,,,,76.68218457,30.65722026,249.903,0.026,0.026,0.078,0.037,1.834,m,SINGLE,2023-04-27 16:22:59.4 UTC+05:30,2023-04-27 16:22:59.4 UTC+05:30,1,1.5,,,,76.68293478,30.65634194,248.818,121.084,Global CS
43,,,,,,76.68218457,30.65722026,249.903,0.026,0.026,0.078,0.037,1.834,m,SINGLE,2023-04-27 16:22:59.4 UTC+05:30,2023-04-27 16:22:59.4 UTC+05:30,1,1.5,,,,76.68293478,30.65634194,248.818,121.084,Global CS
44,,,,,,76.68218457,30.65722026,249.903,0.026,0.026,0.078,0.037,1.834,m,SINGLE,2023-04-27 16:22:59.4 UTC+05:30,2023-04-27 16:22:59.4 UTC+05:30,1,1.5,,,,76.68293478,30.65634194,248.818,121.084,Global CS
45,,,,,,76.68218457,30.65722026,249.903,0.026,0.026,0.078,0.037,1.834,m,SINGLE,2023-04-27 16:22:59.4 UTC+05:30,2023-04-27 16:22:59.4 UTC+05:30,1,1.5,,,,76.68293478,30.65634194,248.818,121.084,Global CS
46,,,,,,76.68207256,30.65728461,249.878,0.010,0.014,0.025,0.017,1.834,m,FIX,2023-04-27 16:23:14.6 UTC+05:30,2023-04-27 16:23:14.6 UTC+05:30,1,1.7,,,,76.68293478,30.65634194,248.818,133.270,Global CS
47,,,,,,76.68205585,30.65729613,249.892,0.012,0.010,0.023,0.016,1.834,m,FIX,2023-04-27 16:23:16.4 UTC+05:30,2023-04-27 16:23:16.4 UTC+05:30,1,1.6,,,,76.68293478,30.65634194,248.818,135.266,Global CS
48,,,,,,76.68204304,30.65730133,249.862,0.010,0.010,0.022,0.014,1.834,m,FIX,2023-04-27 16:23:17.8 UTC+05:30,2023-04-27 16:23:17.8 UTC+05:30,1,1.6,,,,76.68293478,30.65634194,248.818,136.482,Global CS
49,,,,,,76.68203048,30.65731240,249.819,0.010,0.010,0.020,0.014,1.834,m,FIX,2023-04-27 16:23:19.4 UTC+05:30,2023-04-27 16:23:19.4 UTC+05:30,1,1.6,,,,76.68293478,30.65634194,248.818,138.192,Global CS
50,,,,,,76.68201872,30.65732083,249.839,0.010,0.010,0.019,0.014,1.834,m,FIX,2023-04-27 16:23:21.0 UTC+05:30,2023-04-27 16:23:21.0 UTC+05:30,1,1.6,,,,76.68293478,30.65634194,248.818,139.627,Global CS
51,,,,,,76.68200192,30.65732730,249.854,0.010,0.010,0.019,0.014,1.834,m,FIX,2023-04-27 16:23:22.8 UTC+05:30,2023-04-27 16:23:22.8 UTC+05:30,1,1.6,,,,76.68293478,30.65634194,248.818,141.200,Global CS
52,,,,,,76.68198466,30.65733598,249.869,0.010,0.010,0.019,0.014,1.834,m,FIX,2023-04-27 16:23:24.6 UTC+05:30,2023-04-27 16:23:24.6 UTC+05:30,1,1.6,,,,76.68293478,30.65634194,248.818,142.994,Global CS
53,,,,,,76.68197079,30.65734441,249.845,0.013,0.011,0.033,0.017,1.834,m,FIX,2023-04-27 16:23:26.2 UTC+05:30,2023-04-27 16:23:26.2 UTC+05:30,1,1.6,,,,76.68293478,30.65634194,248.818,144.561,Global CS
54,,,,,,76.68195609,30.65735639,249.856,0.029,0.025,0.081,0.038,1.834,m,SINGLE,2023-04-27 16:23:28.2 UTC+05:30,2023-04-27 16:23:28.2 UTC+05:30,1,1.6,,,,76.68293478,30.65634194,248.818,146.483,Global CS
55,,,,,,76.68194223,30.65736602,249.794,0.012,0.010,0.029,0.016,1.834,m,FIX,2023-04-27 16:23:30.0 UTC+05:30,2023-04-27 16:23:30.0 UTC+05:30,1,1.6,,,,76.68293478,30.65634194,248.818,148.152,Global CS
56,,,,,,76.68191867,30.65738156,249.839,0.010,0.010,0.023,0.014,1.834,m,FIX,2023-04-27 16:23:32.8 UTC+05:30,2023-04-27 16:23:32.8 UTC+05:30,1,1.6,,,,76.68293478,30.65634194,248.818,150.925,Global CS
57,,,,,,76.68190283,30.65739474,249.881,0.010,0.010,0.022,0.014,1.834,m,FIX,2023-04-27 16:23:34.8 UTC+05:30,2023-04-27 16:23:34.8 UTC+05:30,1,1.6,,,,76.68293478,30.65634194,248.818,153.022,Global CS
58,,,,,,76.68189112,30.65740203,249.856,0.010,0.010,0.021,0.014,1.834,m,FIX,2023-04-27 16:23:36.4 UTC+05:30,2023-04-27 16:23:36.4 UTC+05:30,1,1.6,,,,76.68293478,30.65634194,248.818,154.364,Global CS
59,,,,,,76.68186528,30.65741853,249.850,0.010,0.010,0.020,0.014,1.834,m,FIX,2023-04-27 16:23:39.4 UTC+05:30,2023-04-27 16:23:39.4 UTC+05:30,1,1.6,,,,76.68293478,30.65634194,248.818,157.363,Global CS
60,,,,,,76.68184784,30.65743206,249.869,0.010,0.010,0.020,0.014,1.834,m,FIX,2023-04-27 16:23:41.6 UTC+05:30,2023-04-27 16:23:41.6 UTC+05:30,1,1.6,,,,76.68293478,30.65634194,248.818,159.590,Global CS
61,,,,,,76.68182963,30.65744451,249.891,0.010,0.010,0.019,0.014,1.834,m,FIX,2023-04-27 16:23:43.8 UTC+05:30,2023-04-27 16:23:43.8 UTC+05:30,1,1.6,,,,76.68293478,30.65634194,248.818,161.776,Global CS
62,,,,,,76.68181050,30.65745733,249.941,0.010,0.010,0.019,0.014,1.834,m,FIX,2023-04-27 16:23:46.0 UTC+05:30,2023-04-27 16:23:46.0 UTC+05:30,1,1.6,,,,76.68293478,30.65634194,248.818,164.052,Global CS
63,,,,,,76.68179386,30.65746798,249.977,0.010,0.010,0.018,0.014,1.834,m,FIX,2023-04-27 16:23:48.0 UTC+05:30,2023-04-27 16:23:48.0 UTC+05:30,1,1.6,,,,76.68293478,30.65634194,248.818,165.990,Global CS
64,,,,,,76.68177796,30.65748049,249.952,0.010,0.010,0.017,0.014,1.834,m,FIX,2023-04-27 16:23:50.0 UTC+05:30,2023-04-27 16:23:50.0 UTC+05:30,1,1.6,,,,76.68293478,30.65634194,248.818,168.037,Global CS
65,,,,,,76.68176080,30.65749026,249.971,0.010,0.010,0.018,0.014,1.834,m,FIX,2023-04-27 16:23:51.8 UTC+05:30,2023-04-27 16:23:51.8 UTC+05:30,1,1.6,,,,76.68293478,30.65634194,248.818,169.938,Global CS
66,,,,,,76.68174079,30.65750291,249.963,0.010,0.010,0.017,0.014,1.834,m,FIX,2023-04-27 16:23:54.2 UTC+05:30,2023-04-27 16:23:54.2 UTC+05:30,1,1.6,,,,76.68293478,30.65634194,248.818,172.259,Global CS
67,,,,,,76.68169906,30.65753106,249.975,0.010,0.010,0.018,0.014,1.834,m,FIX,2023-04-27 16:23:59.0 UTC+05:30,2023-04-27 16:23:59.0 UTC+05:30,1,1.4,,,,76.68293478,30.65634194,248.818,177.251,Global CS
68,,,,,,76.68168351,30.65754252,249.954,0.010,0.010,0.017,0.014,1.834,m,FIX,2023-04-27 16:24:00.8 UTC+05:30,2023-04-27 16:24:00.8 UTC+05:30,1,1.4,,,,76.68293478,30.65634194,248.818,179.192,Global CS
69,,,,,,76.68167182,30.65755059,249.749,0.010,0.010,0.018,0.014,1.834,m,FIX,2023-04-27 16:24:02.2 UTC+05:30,2023-04-27 16:24:02.2 UTC+05:30,1,1.4,,,,76.68293478,30.65634194,248.818,180.603,Global CS
70,,,,,,76.68165881,30.65756118,249.737,0.010,0.010,0.018,0.014,1.834,m,FIX,2023-04-27 16:24:03.8 UTC+05:30,2023-04-27 16:24:03.8 UTC+05:30,1,1.4,,,,76.68293478,30.65634194,248.818,182.310,Global CS
71,,,,,,76.68164520,30.65756998,249.726,0.010,0.010,0.017,0.014,1.834,m,FIX,2023-04-27 16:24:05.4 UTC+05:30,2023-04-27 16:24:05.4 UTC+05:30,1,1.4,,,,76.68293478,30.65634194,248.818,183.908,Global CS
72,,,,,,76.68162930,30.65757977,249.692,0.010,0.010,0.017,0.014,1.834,m,FIX,2023-04-27 16:24:07.2 UTC+05:30,2023-04-27 16:24:07.2 UTC+05:30,1,1.4,,,,76.68293478,30.65634194,248.818,185.736,Global CS
73,,,,,,76.68159751,30.65760212,249.843,0.010,0.010,0.017,0.014,1.834,m,FIX,2023-04-27 16:24:11.0 UTC+05:30,2023-04-27 16:24:11.0 UTC+05:30,1,1.6,,,,76.68293478,30.65634194,248.818,189.622,Global CS
74,,,,,,76.68158129,30.65761225,249.856,0.010,0.010,0.016,0.014,1.834,m,FIX,2023-04-27 16:24:12.8 UTC+05:30,2023-04-27 16:24:12.8 UTC+05:30,1,1.6,,,,76.68293478,30.65634194,248.818,191.502,Global CS
75,,,,,,76.68156245,30.65762531,249.847,0.010,0.010,0.016,0.014,1.834,m,FIX,2023-04-27 16:24:15.0 UTC+05:30,2023-04-27 16:24:15.0 UTC+05:30,1,1.6,,,,76.68293478,30.65634194,248.818,193.790,Global CS
76,,,,,,76.68154968,30.65763353,249.838,0.010,0.010,0.017,0.014,1.834,m,FIX,2023-04-27 16:24:16.4 UTC+05:30,2023-04-27 16:24:16.4 UTC+05:30,1,1.6,,,,76.68293478,30.65634194,248.818,195.290,Global CS
77,,,,,,76.68153434,30.65764396,249.852,0.010,0.010,0.016,0.014,1.834,m,FIX,2023-04-27 16:24:18.2 UTC+05:30,2023-04-27 16:24:18.2 UTC+05:30,1,1.6,,,,76.68293478,30.65634194,248.818,197.137,Global CS
78,,,,,,76.68151601,30.65765706,249.858,0.010,0.010,0.017,0.014,1.834,m,FIX,2023-04-27 16:24:20.4 UTC+05:30,2023-04-27 16:24:20.4 UTC+05:30,1,1.6,,,,76.68293478,30.65634194,248.818,199.398,Global CS
79,,,,,,76.68150026,30.65766812,249.862,0.010,0.010,0.016,0.014,1.834,m,FIX,2023-04-27 16:24:22.2 UTC+05:30,2023-04-27 16:24:22.2 UTC+05:30,1,1.6,,,,76.68293478,30.65634194,248.818,201.324,Global CS
80,,,,,,76.68148529,30.65767913,249.849,0.010,0.010,0.018,0.014,1.834,m,FIX,2023-04-27 16:24:24.0 UTC+05:30,2023-04-27 16:24:24.0 UTC+05:30,1,1.6,,,,76.68293478,30.65634194,248.818,203.195,Global CS
81,,,,,,76.68146814,30.65769037,249.840,0.010,0.010,0.016,0.014,1.834,m,FIX,2023-04-27 16:24:26.0 UTC+05:30,2023-04-27 16:24:26.0 UTC+05:30,1,1.6,,,,76.68293478,30.65634194,248.818,205.229,Global CS
82,,,,,,76.68144173,30.65770881,249.820,0.010,0.010,0.016,0.014,1.834,m,FIX,2023-04-27 16:24:29.0 UTC+05:30,2023-04-27 16:24:29.0 UTC+05:30,1,1.6,,,,76.68293478,30.65634194,248.818,208.452,Global CS
83,,,,,,76.68142626,30.65771914,249.833,0.010,0.010,0.016,0.014,1.834,m,FIX,2023-04-27 16:24:30.8 UTC+05:30,2023-04-27 16:24:30.8 UTC+05:30,1,1.6,,,,76.68293478,30.65634194,248.818,210.304,Global CS
84,,,,,,76.68141012,30.65773022,249.835,0.010,0.010,0.017,0.014,1.834,m,FIX,2023-04-27 16:24:32.6 UTC+05:30,2023-04-27 16:24:32.6 UTC+05:30,1,1.6,,,,76.68293478,30.65634194,248.818,212.259,Global CS
85,,,,,,76.68139081,30.65774249,249.737,0.031,0.030,0.093,0.043,1.834,m,SINGLE,2023-04-27 16:24:34.8 UTC+05:30,2023-04-27 16:24:34.8 UTC+05:30,1,1.6,,,,76.68293478,30.65634194,248.818,214.519,Global CS
86,,,,,,76.68136833,30.65775985,249.849,0.011,0.010,0.026,0.015,1.834,m,FIX,2023-04-27 16:24:37.4 UTC+05:30,2023-04-27 16:24:37.4 UTC+05:30,1,1.4,,,,76.68293478,30.65634194,248.818,217.400,Global CS
